Player,Opponent,Result,Points,Total Games
Gabriel Agati [BR],Kenneth Gamboa [MX],W,15,8
Yuta Uehara [JP],Yichun Wu [CN],W,3,1
Yuta Uehara [JP],Billy James Cubillan [PH],W,6,2
Yuta Uehara [JP],Bryce Ong [US],W,9,3
Yuta Uehara [JP],Fabian Kuhl [DE],L,9,4
Yuta Uehara [JP],Dimitri Koziaris [AU],L,9,5
Yuta Uehara [JP],Takumi Kamisugi [JP],W,12,6
Yuta Uehara [JP],Hengyue Zhang [CN],L,12,7
Yuta Uehara [JP],Omar Acuña Acevedo [CL],W,15,8
Estephan Valdebenito [CL],蔡 皓宇 [TW],W,3,1
Estephan Valdebenito [CL],Zachary Mnich [US],L,3,2
Estephan Valdebenito [CL],Victor Vieira [BR],W,6,3
Estephan Valdebenito [CL],Dorian Quiñonez [PE],L,6,4
Estephan Valdebenito [CL],Aldo Loyola [MX],L,6,5
Estephan Valdebenito [CL],KAZUKI HATAKEYAMA [JP],W,9,6
Estephan Valdebenito [CL],Chase Matteo [US],W,12,7
Estephan Valdebenito [CL],Ngai Tam [HK],W,15,8
Nicholas Kan [AU],James Evans [US],L,0,1
Nicholas Kan [AU],Connor Swikart [US],W,3,2
Nicholas Kan [AU],Simon Bernard [AT],W,6,3
Nicholas Kan [AU],Francesco Pio Pero [IT],L,6,4
Nicholas Kan [AU],Masayoshi Kuroo [AU],L,6,5
Nicholas Kan [AU],Patrick Jan Cabangin [PH],W,9,6
Nicholas Kan [AU],Cruz Ting [TW],W,12,7
Nicholas Kan [AU],Yuxiang Wang [CN],W,15,8
Lewis Tan [AU],Yoshimasa Hayakawa [JP],W,3,1
Lewis Tan [AU],Nattanon Wongwiwatchai [TH],L,3,2
Lewis Tan [AU],HIROKI KUSAFUKA [JP],W,6,3
Lewis Tan [AU],Dylan Salvanera [US],L,6,4
Lewis Tan [AU],RYO NONAMI [JP],W,9,5
Lewis Tan [AU],Ryan Haig [US],W,12,6
Lewis Tan [AU],Munenori Okumura [JP],W,15,7
Lewis Tan [AU],Théotime Massaut [FR],L,15,8
Wonjae Kim [KR],Ryan Powney [IE],L,0,1
Wonjae Kim [KR],Chih-Chun Liang [TW],W,3,2
Wonjae Kim [KR],Michael Navas [AU],L,3,3
Wonjae Kim [KR],Daniel Nuñez [MX],W,6,4
Wonjae Kim [KR],Iker Rodrigo [ES],L,6,5
Wonjae Kim [KR],YU PING PAI [TW],W,9,6
Wonjae Kim [KR],I-SHENG LIN [TW],W,12,7
Wonjae Kim [KR],Jittarin Rojmahamongkol [TH],W,15,8
Angelo Piscitelli [IT],Juan José Mejia Tasayco [PE],W,3,1
Angelo Piscitelli [IT],Sebastian Escalante [AR],L,3,2
Angelo Piscitelli [IT],Michael Kelsch [DE],L,3,3
Angelo Piscitelli [IT],Tsz Tung NG [HK],W,6,4
Angelo Piscitelli [IT],Simon Bernard [AT],W,9,5
Angelo Piscitelli [IT],AYUMU IWASAKI [JP],L,9,6
Angelo Piscitelli [IT],Samuel Pereira [ES],W,12,7
Angelo Piscitelli [IT],Toler Webb [US],W,15,8
Markus Hamann [DE],Mattie Morgan [IE],L,0,1
Markus Hamann [DE],Diego Aguirre [CA],L,0,2
Markus Hamann [DE],Jonathan Zuniga [US],W,3,3
Markus Hamann [DE],Alessio Ferrara [IT],W,6,4
Markus Hamann [DE],Kiran Singh [AU],L,6,5
Markus Hamann [DE],Caelan Brown [US],W,9,6
Markus Hamann [DE],Sidy Badiane [IT],W,12,7
Markus Hamann [DE],Mark Mullender [NL],W,15,8
Seiya Koyasu [JP],HIROKI KUSAFUKA [JP],W,3,1
Seiya Koyasu [JP],Javier Freire [ES],W,6,2
Seiya Koyasu [JP],TAKAHIRO FUTAMURA [JP],W,9,3
Seiya Koyasu [JP],Raghav Malaviya [US],L,9,4
Seiya Koyasu [JP],Christian Dave Vista [PH],L,9,5
Seiya Koyasu [JP],Max Musumeci [IE],W,12,6
Seiya Koyasu [JP],Ryoma Okamoto [JP],L,12,7
Seiya Koyasu [JP],Billy James Cubillan [PH],W,15,8
Munenori Okumura [JP],Jack Clarke [UK],W,3,1
Munenori Okumura [JP],ALEX UNDERHILL [US],L,3,2
Munenori Okumura [JP],Tomoki Kinoshita [JP],L,3,3
Munenori Okumura [JP],Frederik Nielsen [DK],W,6,4
Munenori Okumura [JP],Brady Smith [US],W,9,5
Munenori Okumura [JP],Xicheng Pan [CN],W,12,6
Munenori Okumura [JP],Lewis Tan [AU],L,12,7
Munenori Okumura [JP],Sebastian Rodriguez [PE],W,15,8
Jim Sullivan [AU],TSE-YU LIN [TW],W,3,1
Jim Sullivan [AU],Chung Yin Wong [HK],W,6,2
Jim Sullivan [AU],TAKAHIRO ISHIDA [JP],L,6,3
Jim Sullivan [AU],Joan Garcia [ES],W,9,4
Jim Sullivan [AU],Femi Jordanovic [UK],L,9,5
Jim Sullivan [AU],Chuppa Cross IV [US],L,9,6
Jim Sullivan [AU],Yotam Cohen [US],W,12,7
Jim Sullivan [AU],Mark Cotter [IE],W,15,8
Zachary Weed [US],Hidetsuna Shimizu [JP],L,0,1
Zachary Weed [US],Peter Vowles [AU],W,3,2
Zachary Weed [US],Edward Z Fan [HK],W,6,3
Zachary Weed [US],Tomoki Kinoshita [JP],W,9,4
Zachary Weed [US],Samuel Pereira [ES],W,12,5
Zachary Weed [US],Hirofumi Kimura [JP],L,12,6
Zachary Weed [US],Matt Maynard [UK],W,15,7
Zachary Weed [US],Shoma Honami [JP],L,15,8
Mingi Kim [KR],Yuta Ishigaki [JP],L,0,1
Mingi Kim [KR],Koji Kanamori [JP],W,3,2
Mingi Kim [KR],Louis Milich [US],L,3,3
Mingi Kim [KR],Rishi Gupta [US],W,6,4
Mingi Kim [KR],Forhad Chodhoury [ES],L,6,5
Mingi Kim [KR],Michael Vono [CA],W,9,6
Mingi Kim [KR],Ernesto Verdugo [MX],W,12,7
Mingi Kim [KR],Dominic Vogel [US],W,15,8
Christian Mossati [AU],Hirotoshi Mori [JP],W,3,1
Christian Mossati [AU],Seung Lee [KR],L,3,2
Christian Mossati [AU],Giorgio Lorenzo Dela Cuesta [PH],L,3,3
Christian Mossati [AU],Javier Freire [ES],W,6,4
Christian Mossati [AU],Shohei Asakura [JP],W,9,5
Christian Mossati [AU],Louis Milich [US],L,9,6
Christian Mossati [AU],Francesco Di Biase [IT],W,12,7
Christian Mossati [AU],Ryosuke Kosuge [JP],W,15,8
Kylan Van Severen [CA],Alejandro Terrazas [MX],W,3,1
Kylan Van Severen [CA],Victor Jimenez Coll [ES],L,3,2
Kylan Van Severen [CA],Iker Rodrigo [ES],W,6,3
Kylan Van Severen [CA],Samuel Pereira [ES],L,6,4
Kylan Van Severen [CA],yin fung choi [HK],W,9,5
Kylan Van Severen [CA],alexander canseco [MX],W,12,6
Kylan Van Severen [CA],Yuma Kinugawa [JP],L,12,7
Kylan Van Severen [CA],Ferdinando Vincenti [IT],W,15,8
juan salerno [AR],Riley Factura [US],W,3,1
juan salerno [AR],Arath Alejandro Vera Almaraz [MX],L,3,2
juan salerno [AR],Samuel Pereira [ES],L,3,3
juan salerno [AR],Witsarut Buadit [TH],W,6,4
juan salerno [AR],Luca Lussignoli [IT],W,9,5
juan salerno [AR],Gavin Michaels [US],W,12,6
juan salerno [AR],Giorgio Lorenzo Dela Cuesta [PH],W,15,7
juan salerno [AR],Max Morales [CR],L,15,8
ginjiro shiraki [JP],Joseph Martin [UK],L,0,1
ginjiro shiraki [JP],Taran Birdee [UK],L,0,2
ginjiro shiraki [JP],Noppasorn Tangkasem [TH],W,3,3
ginjiro shiraki [JP],Shohei Kimura [JP],W,6,4
ginjiro shiraki [JP],Kenichi Yanagitani [JP],W,9,5
ginjiro shiraki [JP],Arath Alejandro Vera Almaraz [MX],W,12,6
ginjiro shiraki [JP],Dominic Vogel [US],W,15,7
ginjiro shiraki [JP],Masayoshi Kuroo [AU],L,15,8
Marco Marras [IT],Jaesung Lee [KR],L,0,1
Marco Marras [IT],Dorian Quiñonez [PE],L,0,2
Marco Marras [IT],Ismat Myron Beg [MY],W,3,3
Marco Marras [IT],Juan Lucin [EC],L,3,4
Marco Marras [IT],Donguk Jung [KR],W,6,5
Marco Marras [IT],Tomoyuki Tanaka [SG],W,9,6
Marco Marras [IT],Max Musumeci [IE],W,12,7
Marco Marras [IT],Lorenzo Silvestrini [IT],W,15,8
Joseph Ugarte [US],Lorenzo Arce [US],W,3,1
Joseph Ugarte [US],Jin-Hao Jiang [TW],L,3,2
Joseph Ugarte [US],Justin Burns [US],W,6,3
Joseph Ugarte [US],Joseph Martin [UK],L,6,4
Joseph Ugarte [US],Nicolò Pollato [IT],W,9,5
Joseph Ugarte [US],Paul Chua [US],L,9,6
Joseph Ugarte [US],PING-JUNG LEE [TW],W,12,7
Joseph Ugarte [US],alexander canseco [MX],W,15,8
Alberto Cañuelo Gómez [ES],Zachary Chia [SG],L,0,1
Alberto Cañuelo Gómez [ES],Zachary Kelly [SG],W,3,2
Alberto Cañuelo Gómez [ES],Francesco Pio Pero [IT],L,3,3
Alberto Cañuelo Gómez [ES],Javier Ponce [CL],W,6,4
Alberto Cañuelo Gómez [ES],David Rodriguez [CR],W,9,5
Alberto Cañuelo Gómez [ES],Marco Hemantha Kaludura Silva [IT],W,12,6
Alberto Cañuelo Gómez [ES],Michael Navas [AU],W,15,7
Alberto Cañuelo Gómez [ES],Matteo Velata [IT],L,15,8
Diego Ferreira [AU],Vinicius Moscão Junqueira [BR],L,0,1
Diego Ferreira [AU],Sidy Badiane [IT],W,3,2
Diego Ferreira [AU],Matteo Velata [IT],L,3,3
Diego Ferreira [AU],Yuki Ishikawa [JP],W,6,4
Diego Ferreira [AU],Arath Alejandro Vera Almaraz [MX],L,6,5
Diego Ferreira [AU],Kazuya Shiraishi [JP],W,9,6
Diego Ferreira [AU],Aldo Loyola [MX],W,12,7
Diego Ferreira [AU],Oscar Gilley [UK],W,15,8
Shohei Asakura [JP],Shonosuke Ikari [JP],L,0,1
Shohei Asakura [JP],Hippolyte Bernard [FR],W,3,2
Shohei Asakura [JP],yin fung choi [HK],L,3,3
Shohei Asakura [JP],Mark Mullender [NL],W,6,4
Shohei Asakura [JP],Christian Mossati [AU],L,6,5
Shohei Asakura [JP],KEVIN LAN [TW],W,9,6
Shohei Asakura [JP],Rahim Farzan [DE],W,12,7
Shohei Asakura [JP],Matt Maynard [UK],W,15,8
Norah Bowman [US],Min Jun Oh [KR],W,3,1
Norah Bowman [US],Cruz Ting [TW],L,3,2
Norah Bowman [US],Yuki Ishikawa [JP],W,6,3
Norah Bowman [US],AYUMU IWASAKI [JP],L,6,4
Norah Bowman [US],Patrick Jan Cabangin [PH],W,9,5
Norah Bowman [US],Antonio Sánchez [ES],L,9,6
Norah Bowman [US],Adam Cherfaoui [FR],W,12,7
Norah Bowman [US],彥博 賴 [TW],W,15,8
Iker Rodrigo [ES],Alex Gómez Berna [ES],L,0,1
Iker Rodrigo [ES],Papon Jirawattanakul [TH],W,3,2
Iker Rodrigo [ES],Kylan Van Severen [CA],L,3,3
Iker Rodrigo [ES],Jamie Boyt [UK],W,6,4
Iker Rodrigo [ES],Wonjae Kim [KR],W,9,5
Iker Rodrigo [ES],Giovanni Costa [US],L,9,6
Iker Rodrigo [ES],June Lintner [US],W,12,7
Iker Rodrigo [ES],Gabriel Llansó [ES],W,15,8
Dillon Kleinvehn [US],Max Musumeci [IE],L,0,1
Dillon Kleinvehn [US],cristhian andrade [BR],L,0,2
Dillon Kleinvehn [US],Daniel Yu [US],W,3,3
Dillon Kleinvehn [US],HIROKI KUSAFUKA [JP],W,6,4
Dillon Kleinvehn [US],Federico Camporesi [IT],W,9,5
Dillon Kleinvehn [US],Hanns Pizarro [PE],L,9,6
Dillon Kleinvehn [US],Marcus Koh [SG],W,12,7
Dillon Kleinvehn [US],Oliver Ramsay [AU],W,15,8
Scott Kennedy [AU],Kian Campbell [US],L,0,1
Scott Kennedy [AU],Stefano Greppi [IT],L,0,2
Scott Kennedy [AU],Peter Vowles [AU],L,0,3
Scott Kennedy [AU],Vijay Sood [US],W,3,4
Scott Kennedy [AU],Worrachate Bosri [TH],W,6,5
Scott Kennedy [AU],Pavel Valencia-Acuna [MX],W,9,6
Scott Kennedy [AU],Giulio Tarlao [IT],W,12,7
Scott Kennedy [AU],Bruno Rebello [BR],W,15,8
Dyl Yeomans [UK],Ryotaro Kimura [JP],L,0,1
Dyl Yeomans [UK],Worrachate Bosri [TH],W,3,2
Dyl Yeomans [UK],Max Musumeci [IE],L,3,3
Dyl Yeomans [UK],Manuel Hernandez Marin [ES],L,3,4
Dyl Yeomans [UK],Thomas Schultz [DE],W,6,5
Dyl Yeomans [UK],Gustavo kengo [BR],W,9,6
Dyl Yeomans [UK],CHENG-LIN LEE [TW],W,12,7
Dyl Yeomans [UK],Jack Roth [AU],W,15,8
Renzo Navarro [PE],Luca Paz [US],L,0,1
Renzo Navarro [PE],Forhad Chodhoury [ES],L,0,2
Renzo Navarro [PE],Hippolyte Bernard [FR],L,0,3
Renzo Navarro [PE],Ismat Myron Beg [MY],W,3,4
Renzo Navarro [PE],Connor Swikart [US],W,6,5
Renzo Navarro [PE],Jin Yang Lee [MY],W,9,6
Renzo Navarro [PE],Ryan Paulo Pareja [PH],W,12,7
Renzo Navarro [PE],Dorian Quiñonez [PE],W,15,8
Jack Clarke [UK],Munenori Okumura [JP],L,0,1
Jack Clarke [UK],Adam Colson [US],L,0,2
Jack Clarke [UK],Tanner Mask [US],W,3,3
Jack Clarke [UK],Justin Burns [US],W,6,4
Jack Clarke [UK],Ryan Haig [US],L,6,5
Jack Clarke [UK],ChihChun Chen [TW],W,9,6
Jack Clarke [UK],kentaro matsumoto [JP],W,12,7
Jack Clarke [UK],Yuki Zaninovich [US],W,15,8
Raghav Malaviya [US],Takumi Kamisugi [JP],W,3,1
Raghav Malaviya [US],Wolfe Glick [US],W,6,2
Raghav Malaviya [US],Miguel Paquete [PT],W,9,3
Raghav Malaviya [US],Seiya Koyasu [JP],W,12,4
Raghav Malaviya [US],Mao Harada [JP],L,12,5
Raghav Malaviya [US],Giuseppe Musicco [IT],L,12,6
Raghav Malaviya [US],Kian Campbell [US],L,12,7
Joseph Martin [UK],ginjiro shiraki [JP],W,3,1
Joseph Martin [UK],James Evans [US],L,3,2
Joseph Martin [UK],Forhad Chodhoury [ES],W,6,3
Joseph Martin [UK],Joseph Ugarte [US],W,9,4
Joseph Martin [UK],Grant Laird [US],L,9,5
Joseph Martin [UK],Chase Matteo [US],W,12,6
Joseph Martin [UK],Wolfe Glick [US],L,12,7
Joseph Martin [UK],choi jeongkyu [KR],L,12,8
Victor Jimenez Coll [ES],Kazuki Ogushi [JP],W,3,1
Victor Jimenez Coll [ES],Kylan Van Severen [CA],W,6,2
Victor Jimenez Coll [ES],Kimitake Ikarashi [JP],L,6,3
Victor Jimenez Coll [ES],Oscar Gilley [UK],W,9,4
Victor Jimenez Coll [ES],Dylan Salvanera [US],W,12,5
Victor Jimenez Coll [ES],Brian Collins [US],L,12,6
Victor Jimenez Coll [ES],Théotime Massaut [FR],L,12,7
Sebastian Rodriguez [PE],Francisco Trigo [CL],W,3,1
Sebastian Rodriguez [PE],Ben Madigan [AU],W,6,2
Sebastian Rodriguez [PE],Andrew Ding [US],W,9,3
Sebastian Rodriguez [PE],Simone Sanvito [IT],W,12,4
Sebastian Rodriguez [PE],Joji Kaieda [AU],L,12,5
Sebastian Rodriguez [PE],Michael Kelsch [DE],L,12,6
Sebastian Rodriguez [PE],AYUMU IWASAKI [JP],L,12,7
Sebastian Rodriguez [PE],Munenori Okumura [JP],L,12,8
Shonosuke Ikari [JP],Shohei Asakura [JP],W,3,1
Shonosuke Ikari [JP],Brady Smith [US],W,6,2
Shonosuke Ikari [JP],Takuto Notohara [JP],W,9,3
Shonosuke Ikari [JP],Jude Gerard Lee Wei Cong [SG],L,9,4
Shonosuke Ikari [JP],Giuseppe Musicco [IT],L,9,5
Shonosuke Ikari [JP],Kevin Salvetto [IT],L,9,6
Shonosuke Ikari [JP],Ryosuke Kosuge [JP],L,9,7
Shonosuke Ikari [JP],Matthew So [US],W,12,8
Paul Chua [US],Dylan Salvanera [US],L,0,1
Paul Chua [US],Juan Lucin [EC],W,3,2
Paul Chua [US],William Holtsbaum [CA],W,6,3
Paul Chua [US],Patrick Connors [US],L,6,4
Paul Chua [US],Joan Garcia [ES],W,9,5
Paul Chua [US],Joseph Ugarte [US],W,12,6
Paul Chua [US],TAKAHIRO ISHIDA [JP],L,12,7
Lorenzo Silvestrini [IT],Stefan Mott [US],W,3,1
Lorenzo Silvestrini [IT],Ryan Paulo Pareja [PH],W,6,2
Lorenzo Silvestrini [IT],Aurélien Soula [FR],L,6,3
Lorenzo Silvestrini [IT],Luca Paz [US],W,9,4
Lorenzo Silvestrini [IT],WEI CHYR [TW],L,9,5
Lorenzo Silvestrini [IT],Riley Factura [US],W,12,6
Lorenzo Silvestrini [IT],CHIH-HUNG CHIU [TW],L,12,7
Lorenzo Silvestrini [IT],Marco Marras [IT],L,12,8
Bruno Rebello [BR],Takumi Okuo [JP],W,3,1
Bruno Rebello [BR],Víctor Medina [ES],L,3,2
Bruno Rebello [BR],Hidetsuna Shimizu [JP],W,6,3
Bruno Rebello [BR],Max Morales [CR],L,6,4
Bruno Rebello [BR],Yoav Reuven [AU],W,9,5
Bruno Rebello [BR],Ryan Loseto [CA],W,12,6
Bruno Rebello [BR],Kiwamu Endo [JP],L,12,7
Bruno Rebello [BR],Scott Kennedy [AU],L,12,8
Christian Dave Vista [PH],Selahattin Sturm [DE],W,3,1
Christian Dave Vista [PH],Junxi Zhu [US],W,6,2
Christian Dave Vista [PH],Sebastian Escalante [AR],L,6,3
Christian Dave Vista [PH],William Bassolino [IT],W,9,4
Christian Dave Vista [PH],Seiya Koyasu [JP],W,12,5
Christian Dave Vista [PH],Zachary Mnich [US],L,12,6
Christian Dave Vista [PH],Hsuan-Chih Kuo [NL],L,12,7
Christian Dave Vista [PH],Yuki Tanaka [JP],L,12,8
Cruz Ting [TW],Eden Batchelor [UK],W,3,1
Cruz Ting [TW],Norah Bowman [US],W,6,2
Cruz Ting [TW],Mattie Morgan [IE],L,6,3
Cruz Ting [TW],Aaron Brok [US],L,6,4
Cruz Ting [TW],Adam Cherfaoui [FR],W,9,5
Cruz Ting [TW],Nils Dunlop [SE],L,9,6
Cruz Ting [TW],Nicholas Kan [AU],L,9,7
Cruz Ting [TW],YU PING PAI [TW],W,12,8
Jack Roth [AU],Takuya Yonemura [JP],W,3,1
Jack Roth [AU],Emily Parson [US],W,6,2
Jack Roth [AU],Ruben Gianzini [IT],W,9,3
Jack Roth [AU],Daanvir Singh Narula [SG],W,12,4
Jack Roth [AU],Giovanni Cischke [US],L,12,5
Jack Roth [AU],Fabian Kuhl [DE],L,12,6
Jack Roth [AU],Victor Vieira [BR],L,12,7
Jack Roth [AU],Dyl Yeomans [UK],L,12,8
I-SHENG LIN [TW],Jeudy Azzarelli [US],W,3,1
I-SHENG LIN [TW],William Brown [US],L,3,2
I-SHENG LIN [TW],Chuppa Cross IV [US],W,6,3
I-SHENG LIN [TW],Kenichi Yanagitani [JP],W,9,4
I-SHENG LIN [TW],Brian Collins [US],L,9,5
I-SHENG LIN [TW],Forhad Chodhoury [ES],L,9,6
I-SHENG LIN [TW],Wonjae Kim [KR],L,9,7
I-SHENG LIN [TW],Hidetsuna Shimizu [JP],W,12,8
Aldo Loyola [MX],Giuseppe Musicco [IT],W,3,1
Aldo Loyola [MX],Mattie Morgan [IE],L,3,2
Aldo Loyola [MX],Ngai Tam [HK],L,3,3
Aldo Loyola [MX],Alejandro Terrazas [MX],W,6,4
Aldo Loyola [MX],Estephan Valdebenito [CL],W,9,5
Aldo Loyola [MX],Nattanon Wongwiwatchai [TH],L,9,6
Aldo Loyola [MX],Diego Ferreira [AU],L,9,7
Aldo Loyola [MX],Francesco Di Biase [IT],W,12,8
Marcus Koh [SG],PING-JUNG LEE [TW],W,3,1
Marcus Koh [SG],Oliver Ramsay [AU],W,6,2
Marcus Koh [SG],Yuki Zaninovich [US],L,6,3
Marcus Koh [SG],TAKAHIRO FUTAMURA [JP],L,6,4
Marcus Koh [SG],Koji Kanamori [JP],W,9,5
Marcus Koh [SG],Tom Winter [UK],L,9,6
Marcus Koh [SG],Dillon Kleinvehn [US],L,9,7
Marcus Koh [SG],Simon Bernard [AT],W,12,8
Ashton Cox [US],Pavel Valencia-Acuna [MX],W,3,1
Ashton Cox [US],Simone Sanvito [IT],L,3,2
Ashton Cox [US],Cheong Suwoong [KR],W,6,3
Ashton Cox [US],Takumi Kamisugi [JP],L,6,4
Ashton Cox [US],Ryan Paulo Pareja [PH],W,9,5
Ashton Cox [US],Naoto Kiriyama [JP],W,12,6
Ashton Cox [US],Matteo Velata [IT],L,12,7
Ashton Cox [US],Michael Navas [AU],L,12,8
Stefan Mott [US],Lorenzo Silvestrini [IT],L,0,1
Stefan Mott [US],Alvin Rambano [PH],W,3,2
Stefan Mott [US],Ferdinando Vincenti [IT],W,6,3
Stefan Mott [US],Montana Mott [US],L,6,4
Stefan Mott [US],KAZUKI HATAKEYAMA [JP],W,9,5
Stefan Mott [US],Luca Paz [US],W,12,6
Stefan Mott [US],Yan Sym [BR],L,12,7
Kenneth Gamboa [MX],JENN-CHAU DUH [TW],W,3,1
Kenneth Gamboa [MX],Christopher Han [US],L,3,2
Kenneth Gamboa [MX],Mitch Kendrick [AU],W,6,3
Kenneth Gamboa [MX],Cedric Bernier [US],L,6,4
Kenneth Gamboa [MX],Joshua Denk [US],L,6,5
Kenneth Gamboa [MX],Nicolò Pollato [IT],W,9,6
Kenneth Gamboa [MX],Luke Kroll [US],W,12,7
Kenneth Gamboa [MX],Gabriel Agati [BR],L,12,8
Seung Lee [KR],Shawn Tang [SG],W,3,1
Seung Lee [KR],Christian Mossati [AU],W,6,2
Seung Lee [KR],Joji Kaieda [AU],L,6,3
Seung Lee [KR],Matteo Velata [IT],L,6,4
Seung Lee [KR],Junhyuk Song [KR],W,9,5
Seung Lee [KR],Kiran Singh [AU],L,9,6
Seung Lee [KR],Andrew Figueras [US],W,12,7
Seung Lee [KR],Kimitake Ikarashi [JP],L,12,8
Oliver Eskolin [FI],Brian Collins [US],L,0,1
Oliver Eskolin [FI],PING-JUNG LEE [TW],W,3,2
Oliver Eskolin [FI],Thomas Schultz [DE],W,6,3
Oliver Eskolin [FI],Yoav Reuven [AU],W,9,4
Oliver Eskolin [FI],Mark Cotter [IE],W,12,5
Oliver Eskolin [FI],Sebastian Escalante [AR],L,12,6
Oliver Eskolin [FI],William Brown [US],L,12,7
Dorian Quiñonez [PE],Jin Yang Lee [MY],L,0,1
Dorian Quiñonez [PE],Marco Marras [IT],W,3,2
Dorian Quiñonez [PE],Darsh Patel [US],W,6,3
Dorian Quiñonez [PE],Estephan Valdebenito [CL],W,9,4
Dorian Quiñonez [PE],Michael Kelsch [DE],L,9,5
Dorian Quiñonez [PE],Mark Cotter [IE],W,12,6
Dorian Quiñonez [PE],Galo Orbea [EC],L,12,7
Dorian Quiñonez [PE],Renzo Navarro [PE],L,12,8
Matt Maynard [UK],Louis Markl [DE],L,0,1
Matt Maynard [UK],Francisco Alca Chacon [PE],W,3,2
Matt Maynard [UK],Caelan Brown [US],W,6,3
Matt Maynard [UK],Cary D'Ortona [US],L,6,4
Matt Maynard [UK],June Lintner [US],W,9,5
Matt Maynard [UK],Jean López [CR],W,12,6
Matt Maynard [UK],Zachary Weed [US],L,12,7
Matt Maynard [UK],Shohei Asakura [JP],L,12,8
Billy James Cubillan [PH],Davide Carrer [IT],W,3,1
Billy James Cubillan [PH],Yuta Uehara [JP],L,3,2
Billy James Cubillan [PH],kentaro matsumoto [JP],W,6,3
Billy James Cubillan [PH],Giorgio Lorenzo Dela Cuesta [PH],W,9,4
Billy James Cubillan [PH],Ryan Powney [IE],L,9,5
Billy James Cubillan [PH],Dominic Vogel [US],L,9,6
Billy James Cubillan [PH],Pedro Cadaval [BR],W,12,7
Billy James Cubillan [PH],Seiya Koyasu [JP],L,12,8
Collin Heier [US],Jude Gerard Lee Wei Cong [SG],L,0,1
Collin Heier [US],Noah Gardner [US],W,3,2
Collin Heier [US],Stefano Greppi [IT],W,6,3
Collin Heier [US],Javier Nain [CL],W,9,4
Collin Heier [US],Ngai Tam [HK],L,9,5
Collin Heier [US],Dylan Salvanera [US],W,12,6
Collin Heier [US],Nikolaj Høj Nielsen [DK],L,12,7
alexander canseco [MX],Federico Camporesi [IT],W,3,1
alexander canseco [MX],Luca Ceribelli [IT],L,3,2
alexander canseco [MX],Carlos Cabal [ES],L,3,3
alexander canseco [MX],Emily Parson [US],W,6,4
alexander canseco [MX],Panyawut Noijan [TH],W,9,5
alexander canseco [MX],Kylan Van Severen [CA],L,9,6
alexander canseco [MX],Simon Bernard [AT],W,12,7
alexander canseco [MX],Joseph Ugarte [US],L,12,8
Jittarin Rojmahamongkol [TH],Toler Webb [US],W,3,1
Jittarin Rojmahamongkol [TH],Yuki Ishikawa [JP],W,6,2
Jittarin Rojmahamongkol [TH],Katsuhiko Minami [JP],L,6,3
Jittarin Rojmahamongkol [TH],Roberto Parente [IT],W,9,4
Jittarin Rojmahamongkol [TH],Behzad Muntazir [US],L,9,5
Jittarin Rojmahamongkol [TH],Wolfe Glick [US],L,9,6
Jittarin Rojmahamongkol [TH],Len Deuel [US],W,12,7
Jittarin Rojmahamongkol [TH],Wonjae Kim [KR],L,12,8
Len Deuel [US],Justin Tang [US],L,0,1
Len Deuel [US],Dawei Si [CN],W,3,2
Len Deuel [US],Kaoru Ueki [JP],W,6,3
Len Deuel [US],Matthew So [US],W,9,4
Len Deuel [US],Nick Navarre [US],L,9,5
Len Deuel [US],Cary D'Ortona [US],L,9,6
Len Deuel [US],Jittarin Rojmahamongkol [TH],L,9,7
Len Deuel [US],wataru kawashima [JP],W,12,8
Oliver Ramsay [AU],Michael Navas [AU],W,3,1
Oliver Ramsay [AU],Marcus Koh [SG],L,3,2
Oliver Ramsay [AU],Montana Mott [US],L,3,3
Oliver Ramsay [AU],Chih-Chun Liang [TW],L,3,4
Oliver Ramsay [AU],Ryotaro Kimura [JP],W,6,5
Oliver Ramsay [AU],Roman Manukjan [DE],W,9,6
Oliver Ramsay [AU],Arath Alejandro Vera Almaraz [MX],W,12,7
Oliver Ramsay [AU],Dillon Kleinvehn [US],L,12,8
Giorgio Lorenzo Dela Cuesta [PH],I-HSIANG CHANG [TW],W,3,1
Giorgio Lorenzo Dela Cuesta [PH],choi jeongkyu [KR],L,3,2
Giorgio Lorenzo Dela Cuesta [PH],Christian Mossati [AU],W,6,3
Giorgio Lorenzo Dela Cuesta [PH],Billy James Cubillan [PH],L,6,4
Giorgio Lorenzo Dela Cuesta [PH],Takumi Okuo [JP],W,9,5
Giorgio Lorenzo Dela Cuesta [PH],Eric Rios [ES],W,12,6
Giorgio Lorenzo Dela Cuesta [PH],juan salerno [AR],L,12,7
Giorgio Lorenzo Dela Cuesta [PH],Francesco Pio Pero [IT],L,12,8
Yuki Zaninovich [US],Sara Spiller [IT],W,3,1
Yuki Zaninovich [US],Hidetsuna Shimizu [JP],W,6,2
Yuki Zaninovich [US],Marcus Koh [SG],W,9,3
Yuki Zaninovich [US],PIN CHUN LIN [TW],L,9,4
Yuki Zaninovich [US],Mattie Morgan [IE],L,9,5
Yuki Zaninovich [US],Andrew Figueras [US],W,12,6
Yuki Zaninovich [US],Cary D'Ortona [US],L,12,7
Yuki Zaninovich [US],Jack Clarke [UK],L,12,8
June Lintner [US],Carlos Cabal [ES],W,3,1
June Lintner [US],Rain Hizola [PH],W,6,2
June Lintner [US],Hsuan-Chih Kuo [NL],L,6,3
