Player,Opponent,Result,Points,Total Games
Jude Gerard Lee Wei Cong [SG],James Evans [US],L,21,10
Zachary Mnich [US],KEVIN LAN [TW],W,3,1
Zachary Mnich [US],Estephan Valdebenito [CL],W,6,2
Zachary Mnich [US],Daanvir Singh Narula [SG],L,6,3
Zachary Mnich [US],Pedro Cadaval [BR],W,9,4
Zachary Mnich [US],Kiwamu Endo [JP],W,12,5
Zachary Mnich [US],Christian Dave Vista [PH],W,15,6
Zachary Mnich [US],Naoto Kishida [JP],L,15,7
Zachary Mnich [US],Alister Sandover [AU],W,18,8
Zachary Mnich [US],Hsuan-Chih Kuo [NL],W,21,9
Zachary Mnich [US],嘉隆 井澤 [JP],L,21,10
Shoma Honami [JP],Kyle Livinghouse [US],W,3,1
Shoma Honami [JP],Nick Navarre [US],W,6,2
Shoma Honami [JP],Narawitch Naenna [TH],W,9,3
Shoma Honami [JP],Longyu Lin [CN],W,12,4
Shoma Honami [JP],嘉隆 井澤 [JP],L,12,5
Shoma Honami [JP],Daanvir Singh Narula [SG],L,12,6
Shoma Honami [JP],Juan Lucin [EC],W,15,7
Shoma Honami [JP],Zachary Weed [US],W,18,8
Shoma Honami [JP],Max Morales [CR],L,18,9
Shoma Honami [JP],Kevin Salvetto [IT],W,21,10
Louis Markl [DE],Matt Maynard [UK],W,3,1
Louis Markl [DE],Andrew Figueras [US],W,6,2
Louis Markl [DE],Daniel Bezerra [BR],W,9,3
Louis Markl [DE],Hsuan-Chih Kuo [NL],W,12,4
Louis Markl [DE],Jaesung Lee [KR],W,15,5
Louis Markl [DE],Ko Tsukide [JP],L,15,6
Louis Markl [DE],Luca Ceribelli [IT],L,15,7
Louis Markl [DE],Galo Orbea [EC],W,18,8
Louis Markl [DE],ALEX UNDERHILL [US],W,21,9
Louis Markl [DE],Montana Mott [US],L,21,10
Brian Collins [US],Oliver Eskolin [FI],W,3,1
Brian Collins [US],Gabriel Agati [BR],W,6,2
Brian Collins [US],Ryoma Okamoto [JP],L,6,3
Brian Collins [US],Naoto Kiriyama [JP],W,9,4
Brian Collins [US],I-SHENG LIN [TW],W,12,5
Brian Collins [US],Victor Jimenez Coll [ES],W,15,6
Brian Collins [US],嘉隆 井澤 [JP],L,15,7
Brian Collins [US],Fabian Kuhl [DE],W,18,8
Brian Collins [US],Aaron Brok [US],L,18,9
Brian Collins [US],Takuto Notohara [JP],W,21,10
Longyu Lin [CN],Siu Wai Kwok [HK],W,3,1
Longyu Lin [CN],Luca Lussignoli [IT],W,6,2
Longyu Lin [CN],Aditya Subramanian [US],W,9,3
Longyu Lin [CN],Shoma Honami [JP],L,9,4
Longyu Lin [CN],AYUMU IWASAKI [JP],W,12,5
Longyu Lin [CN],CHIH-HUNG CHIU [TW],W,15,6
Longyu Lin [CN],Femi Jordanovic [UK],W,18,7
Longyu Lin [CN],Simone Sanvito [IT],W,21,8
Longyu Lin [CN],Giovanni Cischke [US],L,21,9
Longyu Lin [CN],Víctor Medina [ES],L,21,10
Daanvir Singh Narula [SG],Jiven Reddy [ZA],W,3,1
Daanvir Singh Narula [SG],Xicheng Pan [CN],W,6,2
Daanvir Singh Narula [SG],Zachary Mnich [US],W,9,3
Daanvir Singh Narula [SG],Jack Roth [AU],L,9,4
Daanvir Singh Narula [SG],Andrew Zheng [US],W,12,5
Daanvir Singh Narula [SG],Shoma Honami [JP],W,15,6
Daanvir Singh Narula [SG],Sebastian Escalante [AR],W,18,7
Daanvir Singh Narula [SG],Hirofumi Kimura [JP],L,18,8
Daanvir Singh Narula [SG],JENN-CHAU DUH [TW],W,21,9
Daanvir Singh Narula [SG],Chuppa Cross IV [US],L,21,10
Joji Kaieda [AU],Haruki Sato [JP],W,3,1
Joji Kaieda [AU],Max Musumeci [IE],W,6,2
Joji Kaieda [AU],Seung Lee [KR],W,9,3
Joji Kaieda [AU],Gavin Michaels [US],W,12,4
Joji Kaieda [AU],Sebastian Rodriguez [PE],W,15,5
Joji Kaieda [AU],Jin-Hao Jiang [TW],W,18,6
Joji Kaieda [AU],Ko Tsukide [JP],L,18,7
Joji Kaieda [AU],James Baek [US],L,18,8
Joji Kaieda [AU],Luca Ceribelli [IT],W,21,9
Joji Kaieda [AU],Masayoshi Kuroo [AU],L,21,10
Patrick Connors [US],Arthur Mosca [MX],W,3,1
Patrick Connors [US],Louis Milich [US],W,6,2
Patrick Connors [US],Justin Tang [US],L,6,3
Patrick Connors [US],Paul Chua [US],W,9,4
Patrick Connors [US],Luca Ceribelli [IT],L,9,5
Patrick Connors [US],Narawitch Naenna [TH],W,12,6
Patrick Connors [US],Yuki Tanaka [JP],W,15,7
Patrick Connors [US],Daniel Marcelo Reyes [US],W,18,8
Patrick Connors [US],Kiran Singh [AU],W,21,9
Patrick Connors [US],Cedric Bernier [US],L,21,10
Kian Campbell [US],Scott Kennedy [AU],W,3,1
Kian Campbell [US],Yoav Reuven [AU],W,6,2
Kian Campbell [US],Yuta Ishigaki [JP],W,9,3
Kian Campbell [US],Ryoma Okamoto [JP],L,9,4
Kian Campbell [US],Kazuki Ogushi [JP],L,9,5
Kian Campbell [US],Hidetsuna Shimizu [JP],W,12,6
Kian Campbell [US],Raghav Malaviya [US],W,15,7
Kian Campbell [US],Femi Jordanovic [UK],W,18,8
Kian Campbell [US],Justin Tang [US],W,21,9
Kian Campbell [US],Mattie Morgan [IE],L,21,10
CHIH-HUNG CHIU [TW],Noah Gardner [US],W,3,1
CHIH-HUNG CHIU [TW],Hengyue Zhang [CN],L,3,2
CHIH-HUNG CHIU [TW],Ryan Haig [US],W,6,3
CHIH-HUNG CHIU [TW],Eric Rios [ES],W,9,4
CHIH-HUNG CHIU [TW],Junxi Zhu [US],W,12,5
CHIH-HUNG CHIU [TW],Longyu Lin [CN],L,12,6
CHIH-HUNG CHIU [TW],Lorenzo Silvestrini [IT],W,15,7
CHIH-HUNG CHIU [TW],Louis Milich [US],W,18,8
CHIH-HUNG CHIU [TW],Wolfe Glick [US],W,21,9
CHIH-HUNG CHIU [TW],Nick Navarre [US],L,21,10
Max Morales [CR],Yotam Cohen [US],W,3,1
Max Morales [CR],Aaron Brok [US],L,3,2
Max Morales [CR],Zachary Chia [SG],W,6,3
Max Morales [CR],Bruno Rebello [BR],W,9,4
Max Morales [CR],Marcus Dion [CA],L,9,5
Max Morales [CR],Yuta Ishigaki [JP],W,12,6
Max Morales [CR],Giovanni Costa [US],W,15,7
Max Morales [CR],juan salerno [AR],W,18,8
Max Morales [CR],Shoma Honami [JP],W,21,9
Max Morales [CR],Carlos Cabal [ES],L,21,10
Grant Laird [US],Justin Won [US],W,3,1
Grant Laird [US],Simon Bernard [AT],W,6,2
Grant Laird [US],William Brown [US],W,9,3
Grant Laird [US],ALEX UNDERHILL [US],L,9,4
Grant Laird [US],Joseph Martin [UK],W,12,5
Grant Laird [US],Kimitake Ikarashi [JP],W,15,6
Grant Laird [US],PIN CHUN LIN [TW],W,18,7
Grant Laird [US],嘉隆 井澤 [JP],L,18,8
Grant Laird [US],Zee Costagliola [US],L,18,9
Grant Laird [US],JENN-CHAU DUH [TW],W,21,10
Yan Sym [BR],Witsarut Buadit [TH],W,3,1
Yan Sym [BR],Darsh Patel [US],W,6,2
Yan Sym [BR],Fabian Kuhl [DE],L,6,3
Yan Sym [BR],Wolfe Glick [US],W,9,4
Yan Sym [BR],Jin-Hao Jiang [TW],L,9,5
Yan Sym [BR],Andrew Zheng [US],W,12,6
Yan Sym [BR],Stefan Mott [US],W,15,7
Yan Sym [BR],Taran Birdee [UK],W,18,8
Yan Sym [BR],Théotime Massaut [FR],L,18,9
Yan Sym [BR],TAKAHIRO FUTAMURA [JP],W,21,10
Hsuan-Chih Kuo [NL],Shai Giuseppe Rabà [IT],W,3,1
Hsuan-Chih Kuo [NL],KAZUKI HATAKEYAMA [JP],W,6,2
Hsuan-Chih Kuo [NL],June Lintner [US],W,9,3
Hsuan-Chih Kuo [NL],Louis Markl [DE],L,9,4
Hsuan-Chih Kuo [NL],Gavin Michaels [US],W,12,5
Hsuan-Chih Kuo [NL],Zee Costagliola [US],L,12,6
Hsuan-Chih Kuo [NL],Christian Dave Vista [PH],W,15,7
Hsuan-Chih Kuo [NL],AYUMU IWASAKI [JP],W,18,8
Hsuan-Chih Kuo [NL],Zachary Mnich [US],L,18,9
Hsuan-Chih Kuo [NL],Matteo Velata [IT],W,21,10
Shunsuke Minami [JP],Manuel Hernandez Marin [ES],L,0,1
Shunsuke Minami [JP],YUAN MING CHIU [TW],W,3,2
